,Town,Longitude,Latitude,% High Needs,Average SAT,School Name,% Attending College
115,Hyde Park Massachusetts,-71.1244963,42.2556543,73.1,393.0,Another Course To College,81.4
120,Boston Massachusetts,-71.060511,42.3554334,55.3,433.0,Boston Arts Academy,77.8
122,Hyde Park Massachusetts,-71.1244963,42.2556543,77.2,405.6666666666670,Boston Community Leadership Academy,81.7
127,Brighton Massachusetts,-71.15511187446640,42.3473519,86.2,367.0,Brighton High,66.2
131,Charlestown Massachusetts,-71.0619957,42.3778749,87.4,376.0,Charlestown High,65.5
134,Dorchester Massachusetts,-71.06127441375660,42.301376000000000,86.6,350.3333333333330,Community Academy of Science and Health,52.7
148,East Boston Massachusetts,-71.02815051029490,42.3718183,80.2,396.0,East Boston High,56.3
153,South Boston Massachusetts,-71.0494949,42.3334312,84.4,369.6666666666670,Excel High School,71.4
172,Dorchester Massachusetts,-71.06127441375660,42.301376000000000,82.6,360.6666666666670,Jeremiah E Burke High,45.6
201,Hyde Park Massachusetts,-71.1244963,42.2556543,60.9,409.6666666666670,New Mission High School,89.5
203,Roxbury Massachusetts,-71.0950158,42.3248426,52.0,497.0,O'Bryant School Math/Science,88.5
218,Dorchester Massachusetts,-71.06127441375660,42.301376000000000,81.7,379.0,TechBoston Academy,71.2
219,Jamaica Plain Massachusetts,-71.1143838,42.3116046,82.6,342.6666666666670,The English High,57.0
222,West Roxbury Massachusetts,-71.1494972,42.2792649,69.2,389.3333333333330,Urban Science Academy,56.8
225,West Roxbury Massachusetts,-71.1494972,42.2792649,79.2,362.0,West Roxbury Academy,62.9
256,Brockton Massachusetts,-71.0183787,42.0834335,62.1,440.3333333333330,Brockton High,76.0
330,Chelsea Massachusetts,-71.0369301,42.3912241,71.9,440.3333333333330,Chelsea High,71.0
345,Chicopee Massachusetts,-72.6071119,42.1487691,50.1,465.3333333333330,Chicopee Comprehensive High School,67.9
346,Chicopee Massachusetts,-72.6071119,42.1487691,56.4,470.6666666666670,Chicopee High,77.2
426,Everett Massachusetts,-71.0536625,42.40843,58.8,431.0,Everett High,66.9
437,Fall River Massachusetts,-71.1552733,41.7019134,63.9,481.0,B M C Durfee High,66.2
464,Fitchburg Massachusetts,-71.8046023,42.5854371,63.7,394.0,Fitchburg High,67.6
501,Athol Massachusetts,-72.2268141,42.594001,56.1,465.0,Athol High,59.2
512,Adams Massachusetts,-73.1155216,42.6269809,52.8,502.0,Berkshire Arts and Technology Charter Public School,73.7
526,Brighton Massachusetts,-71.15511187446640,42.3473519,75.0,353.3333333333330,Boston Green Academy Horace Mann Charter School,74.6
527,Hyde Park Massachusetts,-71.1244963,42.2556543,61.7,446.3333333333330,Boston Preparatory Charter Public School,95.2
542,Harwich Massachusetts,-70.0758508,41.6862224,54.9,449.0,Cape Cod Region Vocational Technical,40.7
550,Roxbury Massachusetts,-71.0950158,42.3248426,70.3,418.3333333333330,City on a Hill Charter Public School Circuit Street,91.1
551,Dorchester Massachusetts,-71.06127441375660,42.301376000000000,65.2,374.0,Codman Academy Charter Public School,81.5
579,Boston Massachusetts,-71.060511,42.3554334,68.0,392.6666666666670,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),81.8
620,Gardner Massachusetts,-71.9952737,42.5763523,50.4,446.0,Gardner High,82.1
636,New Bedford Massachusetts,-70.934205,41.6362152,59.4,451.0,Global Learning Charter Public School,87.9
656,Andover Massachusetts,-71.1408776,42.65717,66.9,386.0,Gr Lawrence Regional Vocational Technical,56.3
662,Greenfield Massachusetts,-72.6002068,42.5876342,50.7,492.0,Greenfield High,74.1
734,Holyoke Massachusetts,-72.60765,42.2071434,68.3,472.0,Holyoke High,69.3
866,Lowell Massachusetts,-71.3085329,42.6414437,56.3,467.3333333333330,Lowell High,77.9
891,Lynn Massachusetts,-70.9494939,42.466763,57.6,449.0,Classical High,63.3
901,Lynn Massachusetts,-70.9494939,42.466763,62.3,448.0,Lynn English High,66.2
902,Lynn Massachusetts,-70.9494939,42.466763,68.2,420.0,Lynn Vocational Technical Institute,45.0
917,Boston Massachusetts,-71.060511,42.3554334,76.1,457.3333333333330,MATCH Charter Public School,90.7
924,Malden Massachusetts,-71.0673127,42.4263737,58.3,468.6666666666670,Malden High,76.6
1031,Lexington Massachusetts,-71.2245003,42.4473175,62.4,466.0,Minuteman Regional High,57.7
1098,New Bedford Massachusetts,-70.934205,41.6362152,76.4,439.6666666666670,New Bedford High,63.4
1139,North Adams Massachusetts,-73.1118997,42.6990349,59.5,472.3333333333330,Drury High,50.0
1247,Everett Massachusetts,-71.0536625,42.40843,65.6,502.0,Pioneer Charter School of Science,90.7
1260,Pittsfield Massachusetts,-73.260018,42.451302,50.6,496.3333333333330,Pittsfield High,70.1
1283,Cambridge Massachusetts,-71.1040018,42.3656347,53.6,453.0,Prospect Hill Academy Charter School,91.4
1311,Quincy Massachusetts,-71.0037374,42.2509914,50.6,486.3333333333330,Quincy High,70.5
1324,Randolph Massachusetts,-71.0424838,42.1618005,59.8,441.3333333333330,Randolph High,74.4
1340,Revere Massachusetts,-71.0127394,42.4094753,54.1,438.6666666666670,Revere High,69.0
1367,Salem Massachusetts,-70.8967226,42.5195292,62.7,479.0,Salem High,69.6
1429,Somerville Massachusetts,-71.10039,42.3874119,58.0,468.6666666666670,Somerville High,72.8
1449,South Easton Massachusetts,-71.0814358,42.0473222,55.0,419.0,Southeastern Regional Vocational Technical,55.8
1503,Springfield Massachusetts,-72.5886727,42.1018764,72.8,355.0,Roger L. Putnam Vocational Technical Academy,58.4
1507,Springfield Massachusetts,-72.5886727,42.1018764,70.1,399.6666666666670,Springfield Central High,75.4
1509,Springfield Massachusetts,-72.5886727,42.1018764,84.0,324.6666666666670,Springfield High School of Science and Technology,54.3
1514,Springfield Massachusetts,-72.5886727,42.1018764,55.5,431.3333333333330,The Springfield Renaissance School an Expeditionary Learning School,84.4
1650,Wareham Massachusetts,-70.7217017,41.7626037,53.7,471.3333333333330,Wareham Senior High,76.3
1661,Webster Massachusetts,-71.8803308,42.0501373,50.6,484.6666666666670,Bartlett High School,70.3
1796,Worcester Massachusetts,-71.8018877,42.2625621,70.2,451.6666666666670,Burncoat Senior High,68.3
1802,Worcester Massachusetts,-71.8018877,42.2625621,83.5,361.6666666666670,Claremont Academy,59.3
1805,Worcester Massachusetts,-71.8018877,42.2625621,58.9,468.3333333333330,Doherty Memorial High,75.2
1822,Worcester Massachusetts,-71.8018877,42.2625621,81.4,397.6666666666670,North High,54.4
1826,Worcester Massachusetts,-71.8018877,42.2625621,75.9,448.3333333333330,South High Community,60.6
1831,Worcester Massachusetts,-71.8018877,42.2625621,68.5,444.6666666666670,University Pk Campus School,72.4
1838,Worcester Massachusetts,-71.8018877,42.2625621,57.0,430.3333333333330,Worcester Technical High,67.2